"Date","Comp","Negative","Neutral","Positive"
"2018-03-25","0.97","0.048","0.814","0.138"
"2018-03-26","0.942","0.053","0.82","0.127"
"2018-03-27","0.986","0.051","0.785","0.164"
"2018-03-28","0.988","0.022","0.719","0.259"
"2018-03-29","0.638","0.096","0.758","0.146"
"2018-03-30","-0.827","0.097","0.845","0.058"
"2018-03-31","0.973","0.067","0.746","0.187"
"2018-04-01","0.977","0.082","0.717","0.201"
"2018-04-02","-0.758","0.115","0.789","0.097"
"2018-04-03","0.836","0.113","0.7","0.187"
"2018-04-04","0.965","0.082","0.746","0.172"
"2018-04-05","0.72","0.06","0.842","0.098"
"2018-04-06","0.928","0.036","0.796","0.168"
"2018-04-07","0.97","0.051","0.8","0.149"
"2018-04-08","0.961","0.006","0.879","0.115"
"2018-04-09","0.981","0.093","0.712","0.195"
"2018-04-10","0.961","0.051","0.827","0.122"
"2018-04-11","0.985","0","0.842","0.158"
"2018-04-12","0.78","0.042","0.873","0.085"
"2018-04-13","0.989","0.053","0.761","0.186"
"2018-04-14","0.971","0.015","0.87","0.115"
"2018-04-15","0.995","0.063","0.67","0.267"
"2018-04-16","0.97","0.059","0.797","0.144"
"2018-04-17","-0.178","0.041","0.916","0.043"
"2018-04-18","0.949","0","0.867","0.133"
"2018-04-19","0.813","0.109","0.722","0.168"
"2018-04-20","0.84","0.069","0.814","0.117"
"2018-04-21","0.976","0.04","0.794","0.166"
"2018-04-22","0.937","0.039","0.816","0.145"
"2018-04-23","0.956","0.048","0.813","0.138"
"2018-04-24","0.951","0.056","0.805","0.139"
"2018-04-25","0.96","0","0.856","0.144"
"2018-04-26","0.796","0.082","0.786","0.132"
"2018-04-27","0.93","0.082","0.774","0.144"
"2018-04-28","0.98","0.01","0.868","0.122"
"2018-04-29","0.959","0.053","0.787","0.16"
"2018-04-30","0.982","0.018","0.847","0.135"
"2018-05-01","0.942","0.065","0.762","0.173"
"2018-05-02","0.951","0.082","0.74","0.178"
"2018-05-03","0.984","0.03","0.786","0.185"
"2018-05-04","0.994","0.052","0.737","0.211"
"2018-05-05","0.984","0.039","0.804","0.157"
"2018-05-06","0.981","0.042","0.82","0.138"
"2018-05-07","0.97","0.011","0.848","0.141"
"2018-05-08","0.886","0.039","0.884","0.076"
"2018-05-09","0.967","0.008","0.844","0.148"
"2018-05-10","0.923","0.051","0.829","0.119"
"2018-05-11","0.99","0.042","0.785","0.173"
"2018-05-12","0.976","0.043","0.805","0.151"
"2018-05-13","0.991","0.038","0.803","0.158"
"2018-05-14","0.982","0.027","0.871","0.101"
"2018-05-15","0.987","0.007","0.796","0.198"
"2018-05-16","0.982","0.087","0.71","0.203"
"2018-05-17","0.973","0.074","0.742","0.183"
"2018-05-18","0.953","0.061","0.791","0.148"
"2018-05-19","0.956","0.029","0.868","0.103"
"2018-05-20","0.988","0.041","0.769","0.19"
"2018-05-21","0.992","0.027","0.735","0.238"
"2018-05-22","0.989","0.041","0.753","0.206"
"2018-05-23","0.987","0.049","0.786","0.165"
"2018-05-24","0.96","0.059","0.809","0.132"
"2018-05-25","0.98","0.071","0.761","0.168"
"2018-05-26","0.96","0.067","0.794","0.139"
"2018-05-27","0.992","0.031","0.801","0.168"
"2018-05-28","0.907","0.098","0.735","0.166"
"2018-05-29","0.995","0","0.768","0.232"
"2018-05-30","0.935","0.023","0.867","0.111"
"2018-05-31","0.761","0.099","0.767","0.134"
"2018-06-01","0.908","0.006","0.909","0.085"
"2018-06-02","0.993","0.044","0.774","0.183"
"2018-06-03","0.987","0.015","0.808","0.178"
"2018-06-04","0.973","0.015","0.827","0.158"
"2018-06-05","0.957","0.077","0.716","0.207"
"2018-06-06","0.95","0.073","0.779","0.148"
"2018-06-07","0.956","0.045","0.821","0.134"
"2018-06-08","0.982","0.079","0.729","0.192"
"2018-06-09","0.972","0.015","0.8","0.186"
"2018-06-10","0.986","0.067","0.759","0.174"
"2018-06-11","0.896","0.076","0.788","0.136"
"2018-06-12","0.991","0.039","0.767","0.194"
"2018-06-13","0.964","0.036","0.813","0.15"
"2018-06-14","0.986","0.048","0.676","0.275"
"2018-06-15","0.487","0.092","0.782","0.126"
"2018-06-16","0.945","0.078","0.787","0.135"
"2018-06-17","0.984","0.02","0.783","0.196"
"2018-06-18","0.84","0.079","0.792","0.129"
"2018-06-19","0.972","0.032","0.831","0.138"
"2018-06-20","0.958","0.042","0.843","0.115"
"2018-06-21","0.902","0.045","0.833","0.122"
"2018-06-22","-0.809","0.125","0.763","0.112"
"2018-06-23","0.992","0.018","0.782","0.2"
"2018-06-24","0.992","0.02","0.789","0.191"
"2018-06-25","0.936","0.017","0.863","0.12"
"2018-06-26","0.974","0","0.844","0.156"
"2018-06-27","0.965","0.054","0.805","0.14"
"2018-06-28","0.974","0.041","0.78","0.179"
"2018-06-29","0.881","0.035","0.871","0.094"
"2018-06-30","0.963","0.034","0.834","0.132"
"2018-07-01","0.975","0.013","0.885","0.102"
"2018-07-02","0.934","0.051","0.811","0.138"
"2018-07-03","0.912","0.035","0.869","0.096"
"2018-07-04","0.99","0.047","0.774","0.18"
"2018-07-05","0.971","0.037","0.846","0.117"
"2018-07-06","0.963","0.028","0.858","0.114"
"2018-07-07","0.987","0.012","0.81","0.178"
"2018-07-08","0.986","0.018","0.834","0.148"
"2018-07-09","0.955","0","0.848","0.152"
"2018-07-10","0.889","0.11","0.726","0.164"
"2018-07-11","0.039","0.108","0.766","0.126"
"2018-07-12","0.846","0.015","0.907","0.078"
"2018-07-13","-0.665","0.081","0.867","0.052"
"2018-07-14","0.954","0","0.893","0.107"
"2018-07-15","0.959","0.036","0.838","0.126"
"2018-07-16","0.982","0.054","0.764","0.182"
"2018-07-17","0.983","0.09","0.712","0.198"
"2018-07-18","0.926","0.061","0.793","0.146"
"2018-07-19","0.802","0.037","0.873","0.09"
"2018-07-20","0.992","0.043","0.805","0.153"
"2018-07-21","0.972","0.01","0.855","0.135"
"2018-07-22","0.919","0.049","0.825","0.125"
"2018-07-23","0.966","0.022","0.841","0.137"
"2018-07-24","0.511","0.092","0.81","0.098"
"2018-07-25","0.94","0","0.888","0.112"
"2018-07-26","0.625","0.12","0.723","0.157"
"2018-07-27","0.977","0.071","0.743","0.186"
"2018-07-28","0.972","0.046","0.753","0.202"
"2018-07-29","0.964","0.022","0.835","0.144"
"2018-07-30","-0.527","0.111","0.796","0.093"
"2018-07-31","0.882","0.075","0.791","0.134"
"2018-08-01","0.986","0.052","0.714","0.234"
"2018-08-02","0.988","0.041","0.795","0.164"
"2018-08-03","0.933","0.016","0.871","0.113"
"2018-08-04","0.956","0.023","0.873","0.104"
"2018-08-05","0.982","0.019","0.835","0.146"
"2018-08-06","0.976","0.019","0.861","0.119"
"2018-08-07","0.981","0.043","0.804","0.152"
"2018-08-08","0.431","0.081","0.797","0.121"
"2018-08-09","0.905","0.067","0.784","0.149"
"2018-08-10","0.98","0.076","0.768","0.156"
"2018-08-11","0.995","0.024","0.769","0.207"
"2018-08-12","0.952","0.083","0.749","0.168"
"2018-08-13","0.946","0.037","0.82","0.143"
"2018-08-14","0.557","0.006","0.972","0.022"
"2018-08-15","0.727","0.026","0.902","0.071"
"2018-08-16","0.987","0","0.784","0.216"
"2018-08-17","0.948","0.076","0.748","0.176"
"2018-08-18","0.772","0.044","0.881","0.075"
"2018-08-19","0.982","0.011","0.841","0.148"
"2018-08-20","0.98","0.026","0.846","0.128"
"2018-08-21","0.989","0.016","0.816","0.168"
"2018-08-22","0.983","0.031","0.799","0.171"
"2018-08-23","0.98","0.012","0.804","0.185"
"2018-08-24","0.92","0.026","0.904","0.071"
"2018-08-25","0.994","0.019","0.793","0.189"
"2018-08-26","0.985","0.061","0.769","0.17"
"2018-08-27","0.966","0.043","0.827","0.13"
"2018-08-28","0.973","0","0.904","0.096"
"2018-08-29","0.977","0","0.754","0.246"
"2018-08-30","0.985","0.04","0.756","0.205"
"2018-08-31","0.985","0.053","0.777","0.17"
"2018-09-01","0.993","0.033","0.775","0.192"
"2018-09-02","0.961","0.033","0.845","0.122"
"2018-09-03","0.969","0.053","0.822","0.125"
"2018-09-04","0.904","0.013","0.831","0.156"
"2018-09-05","0.957","0.047","0.825","0.128"
"2018-09-06","0.983","0","0.807","0.193"
"2018-09-07","0.982","0.007","0.808","0.186"
"2018-09-08","0.976","0.028","0.819","0.153"
"2018-09-09","0.971","0.027","0.874","0.099"
"2018-09-10","0.633","0.03","0.919","0.052"
"2018-09-11","0.978","0.038","0.825","0.137"
"2018-09-12","0.956","0.035","0.852","0.112"
"2018-09-13","0.964","0.046","0.802","0.152"
"2018-09-14","0.97","0.02","0.865","0.115"
"2018-09-15","0.979","0.049","0.784","0.167"
"2018-09-16","0.991","0.015","0.714","0.271"
"2018-09-17","0.984","0.029","0.814","0.157"
"2018-09-18","0.986","0.044","0.795","0.161"
"2018-09-19","0.944","0.043","0.848","0.109"
"2018-09-20","0.67","0.105","0.738","0.157"
"2018-09-21","0.976","0.051","0.823","0.126"
"2018-09-22","0.955","0.058","0.781","0.161"
"2018-09-23","0.977","0.031","0.841","0.128"
"2018-09-24","0.927","0.095","0.715","0.19"
"2018-09-25","0.983","0","0.8","0.2"
"2018-09-26","0.536","0.077","0.835","0.088"
"2018-09-27","0.932","0.073","0.802","0.125"
"2018-09-28","-0.599","0.058","0.897","0.045"
"2018-09-29","0.96","0.014","0.892","0.094"
"2018-09-30","0.971","0.037","0.813","0.149"
"2018-10-01","0.985","0.011","0.841","0.149"
"2018-10-02","0.973","0.031","0.789","0.179"
"2018-10-03","0.178","0.06","0.864","0.076"
"2018-10-04","0.971","0.054","0.757","0.189"
"2018-10-05","0.791","0.063","0.842","0.095"
"2018-10-06","0.906","0.037","0.867","0.097"
"2018-10-07","0.955","0.007","0.887","0.106"
"2018-10-08","0.383","0.106","0.776","0.118"
