"Date","Comp","Negative","Neutral","Positive"
"2018-03-02","0.791","0.072","0.782","0.147"
"2018-03-03","0","0","1","0"
"2018-03-04","0.988","0","0.623","0.377"
"2018-03-05","0.955","0","0.759","0.241"
"2018-03-06","-0.026","0.032","0.938","0.03"
"2018-03-07","0.939","0.042","0.73","0.228"
"2018-03-08","0.946","0.033","0.791","0.176"
"2018-03-09","0.832","0","0.921","0.079"
"2018-03-10","0.886","0","0.784","0.216"
"2018-03-11","0.886","0","0.819","0.181"
"2018-03-12","0.852","0.104","0.732","0.164"
"2018-03-13","0.962","0","0.707","0.293"
"2018-03-14","0.941","0","0.808","0.192"
"2018-03-15","0.976","0.028","0.789","0.183"
"2018-03-16","0.44","0.031","0.917","0.052"
"2018-03-17","0.967","0","0.718","0.282"
"2018-03-18","0.982","0","0.612","0.388"
"2018-03-19","0.866","0.068","0.755","0.176"
"2018-03-20","0.951","0.057","0.653","0.289"
"2018-03-21","0.71","0.02","0.881","0.099"
"2018-03-22","0.962","0","0.787","0.213"
"2018-03-23","0.971","0.022","0.702","0.277"
"2018-03-24","-0.077","0.131","0.741","0.128"
"2018-03-25","0.964","0","0.786","0.214"
"2018-03-26","0.976","0.039","0.688","0.273"
"2018-03-27","0.869","0.058","0.71","0.232"
"2018-03-28","0.7","0.024","0.88","0.097"
"2018-03-29","0.976","0","0.617","0.383"
"2018-03-30","0.743","0","0.875","0.125"
"2018-03-31","0.951","0.022","0.768","0.21"
"2018-04-01","0.972","0.017","0.78","0.203"
"2018-04-02","0.024","0.104","0.799","0.097"
"2018-04-03","0.919","0.026","0.825","0.149"
"2018-04-04","-0.694","0.098","0.882","0.02"
"2018-04-05","0.946","0","0.867","0.133"
"2018-04-06","0.973","0","0.686","0.314"
"2018-04-07","0.862","0","0.879","0.121"
"2018-04-08","0.836","0.077","0.682","0.241"
"2018-04-09","0.952","0","0.811","0.189"
"2018-04-10","-0.681","0.066","0.934","0"
"2018-04-11","0.993","0.023","0.704","0.273"
"2018-04-12","0.974","0.015","0.724","0.261"
"2018-04-13","-0.813","0.163","0.759","0.078"
"2018-04-14","0.875","0.07","0.774","0.156"
"2018-04-15","0.929","0","0.781","0.219"
"2018-04-16","0.7","0","0.909","0.091"
"2018-04-17","0.982","0.011","0.777","0.212"
"2018-04-18","0.852","0.094","0.725","0.181"
"2018-04-19","0.273","0","0.965","0.035"
"2018-04-20","0.178","0.075","0.835","0.09"
"2018-04-21","0.942","0","0.662","0.338"
"2018-04-22","0.985","0.015","0.758","0.227"
"2018-04-23","-0.581","0.094","0.829","0.078"
"2018-04-24","0","0","1","0"
"2018-04-25","0.98","0.092","0.673","0.234"
"2018-04-26","0.914","0","0.798","0.202"
"2018-04-27","0.967","0","0.685","0.315"
"2018-04-28","0.939","0","0.797","0.203"
"2018-04-29","0.459","0.04","0.877","0.083"
"2018-04-30","0.791","0.05","0.851","0.099"
"2018-05-01","0.866","0.024","0.836","0.14"
"2018-05-02","0.382","0.038","0.88","0.082"
"2018-05-03","0.772","0.133","0.693","0.174"
"2018-05-04","0.852","0.053","0.83","0.117"
"2018-05-05","0.985","0","0.58","0.42"
"2018-05-06","0.178","0.046","0.913","0.042"
"2018-05-07","0.889","0.023","0.878","0.099"
"2018-05-08","0.943","0.037","0.774","0.188"
"2018-05-09","0.919","0.054","0.758","0.188"
"2018-05-10","0.962","0","0.589","0.411"
"2018-05-11","0.052","0.036","0.916","0.048"
"2018-05-12","0.97","0.029","0.641","0.33"
"2018-05-13","0.791","0","0.892","0.108"
"2018-05-14","0.202","0.129","0.764","0.107"
"2018-05-15","0.929","0.018","0.786","0.196"
"2018-05-16","0.878","0.047","0.785","0.168"
"2018-05-17","-0.178","0.067","0.872","0.061"
"2018-05-18","0.765","0","0.914","0.086"
"2018-05-19","0.982","0.014","0.689","0.298"
"2018-05-20","0.976","0.038","0.723","0.238"
"2018-05-21","0.963","0.026","0.662","0.311"
"2018-05-22","0","0","1","0"
"2018-05-23","0.983","0.021","0.723","0.256"
"2018-05-24","0.103","0.022","0.953","0.025"
"2018-05-25","0.958","0.014","0.851","0.135"
"2018-05-26","0.98","0.075","0.685","0.24"
"2018-05-27","0.869","0.081","0.768","0.151"
"2018-05-28","0.963","0.036","0.775","0.188"
"2018-05-29","0.987","0","0.751","0.249"
"2018-05-30","-0.178","0.063","0.912","0.025"
"2018-05-31","0.459","0.081","0.789","0.13"
"2018-06-01","0.977","0","0.662","0.338"
"2018-06-02","0.938","0.024","0.816","0.159"
